Location,2001-population,2011-population
Mamit,"62,785","86,364"
Kolasib,"65,960","83,955"
Aizawl,"3,25,676","4,00,309"
Champhai,"1,07,793","1,25,745"
Serchhip,"54,460","64,937"
Lunglei,"1,37,223","1,61,428"
Lawngtlai,"87,592","1,17,894"
Saiha,"47,084","56,574"
