Location,2001-population,2011-population
Senapati,"2,83,621","4,79,148"
Tamenglong,"1,11,499","1,40,651"
Churachandpur,"2,27,905","2,74,143"
Bishnupur,"2,08,368","2,37,399"
Thoubal,"3,64,140","4,22,168"
Imphal West,"4,44,382","5,17,992"
Imphal East,"3,94,876","4,56,113"
Ukhrul,"1,40,778","1,83,998"
Chandel,"1,18,327","1,44,182"
