Location2,Change
Pakur,28.33
Dhanbad,11.99
Bokaro,16.01
Lohardaga,26.68
Purbi Singhbhum ,15.68
Palamu ,26.17
Latehar ,29.61
Hazaribagh ,25.79
Ramgarh,13.10
Dumka,19.42
Jamtara,21.12
Ranchi,24.00
Khunti,22.32
Gumla,23.16
Simdega,16.58
Pashchimi Singhbhum,21.75
Saraikela-Kharsawan,25.47
Bargarh,10.02
Jharsuguda,12.56
Sambalpur,11.89
Debagarh,14.01
Sundargarh,14.35
Kendujhar,15.35
Mayurbhanj,13.33
Baleshwar,14.62
Bhadrak,12.94
Kendrapara,10.63
 Jagatsinghapur,7.48
Cuttack,12.12
Jajapur,12.49
Dhenkanal,11.80
Anugul,11.74
Nayagarh,11.37
Khordha,19.94
Puri,13.05
Ganjam,11.66
Gajapati,11.37
Kandhamal,13.10
Baudh,18.16
Subarnapur  ,12.61
Balangir,23.32
Nuapada,15.02
Kalahandi,18.07
Rayagada,16.46
Nabarangapur,19.03
Koraput,16.86
Malkangiri,21.62
Koriya  ,12.38
Surguja  ,19.66
Jashpur ,14.60
Raigarh,18.05
Korba ,19.25
Janjgir-Champa,22.94
Bilaspur ,33.29
Kabeerdham,40.71
Rajnandgaon  ,19.79
Durg  ,18.98
Raipur  ,34.70
Mahasamund  ,20.05
Dhamtari  ,13.19
Uttar Bastar Kanker,15.06
Bastar,17.96
Narayanpur,19.16
Dakshin Bastar Dantewada,12.08
Bijapur,8.78
Kachchh ,32.16
Banas Kantha,24.61
Patan ,13.61
Mahesana,10.31
Sabar Kantha ,16.62
Gandhinagar,12.50
Ahmadabad,22.42
Surendranagar ,15.91
Rajkot ,20.02
Jamnagar ,13.44
Porbandar ,9.06
Junagadh ,12.05
Amreli ,8.63
Bhavnagar ,16.63
Anand ,12.70
Kheda,12.86
Panch  Mahals ,18.05
Dohad ,29.98
 Vadodara ,14.38
Narmada ,14.75
Bharuch ,13.16
The Dangs ,22.26
Navsari ,8.15
Valsad ,20.92
Surat,42.24
Tapi,12.14
Diu,17.77
Daman ,67.71
Dadra & Nagar  Haveli,55.88
Nandurbar,25.66
Dhule,20.08
Jalgaon,14.86
Buldana,15.85
Akola,11.31
Washim,17.27
Amravati,10.79
Wardha,5.18
Nagpur,14.40
Bhandara,5.65
Gondiya,10.14
Gadchiroli,10.58
Chandrapur,6.43
Yavatmal,12.78
Nanded,16.86
Hingoli,19.27
Parbhani,20.19
Jalna,21.88
Aurangabad,27.52
Nashik,22.30
Thane,36.01
Mumbai Suburban,8.29
Mumbai,-7.57
Raigarh,19.31
Pune,30.37
