Location,2001-population,2011-population
Tawang,38924,49977
West Kameng,74599,83947
East Kameng,57179,78690
Papum Pare,122003,176573
Upper Subansiri,55346,83448
West Siang,103918,112274
East Siang,87397,99214
Upper Siang,33363,35320
Changlang,125422,148226
Tirap,100326,111975
Lower Subansiri,55726,83030
Kurung Kumey,42518,92076
Dibang Valley,7272,8004
Lower Dibang Valley,50448,54080
Lohit,124991,145726
Anjaw,18536,21167
