Location,2001-population,2011-population
Fri,"2,60,652","2,50,260"
Mokokchung,"2,32,085","1,94,622"
Zunheboto,"1,54,598","1,40,757"
Wokha,"1,61,223","1,66,343"
Dimapur,"3,08,174","3,78,811"
Phek,"1,48,195","1,63,418"
Tuensang,"1,86,003","1,96,596"
Longleng,"1,21,581","50,484"
Kiphire,"1,06,591","74,004"
Kohima,"2,20,168","2,67,988"
Peren,"90,766","95,219"
