Location,2001-population,2011-population
West Garo Hills,"5,07,309","6,43,291"
East Garo Hills,"2,52,399","3,17,917"
South Garo Hills,"1,10,244","1,42,334"
West Khasi Hills,"2,96,049","3,83,461"
Ribhoi,"1,92,790","2,58,840"
East Khasi Hills,"6,60,923","8,25,922"
Jaintia Hills,"2,99,108","3,95,124"
