Location,2001-population,2011-population
 North West    ,"28,60,869","36,56,539"
 North    ,"7,81,525","8,87,978"
 North East    ,"17,68,061","22,41,624"
 East    ,"14,63,583","17,09,346"
 New Delhi ,"1,79,112","1,42,004"
 Central   ,"6,46,385","5,82,320"
 West    ,"21,28,908","25,43,243"
 South West    ,"17,55,041","22,92,958"
 South   ,"22,67,023","27,31,929"
