STATE,LONGITUDE,LATITUDE,YEAR,AREA,
Uttarakhand,79.0192997,30.32040895,01-01-2007,"24,495",13445168
Uttarakhand,79.0192997,30.32040895,01-01-2011,"24,496",11523964
Uttarakhand,79.0192997,30.32040895,01-01-2013,"24,508",12801084
West Bengal,87.8549755,22.58039044,01-01-1987,"8,432",102572617
West Bengal,87.8549755,22.58039044,01-01-1989,"8,015",104324830
West Bengal,87.8549755,22.58039044,01-01-1991,"8,015",107766588
West Bengal,87.8549755,22.58039044,01-01-1993,"8,186",104763128
West Bengal,87.8549755,22.58039044,01-01-1995,"8,276",105855367
West Bengal,87.8549755,22.58039044,01-01-1997,"8,349",100238731
West Bengal,87.8549755,22.58039044,01-01-1999,"8,362",104022114
West Bengal,87.8549755,22.58039044,01-01-2001,"10,693",102336441
West Bengal,87.8549755,22.58039044,01-01-2003,"12,343",102620088
West Bengal,87.8549755,22.58039044,01-01-2005,"12,413",106365725
West Bengal,87.8549755,22.58039044,01-01-2007,"12,994",106457532
West Bengal,87.8549755,22.58039044,01-01-2011,"12,995",107445789
West Bengal,87.8549755,22.58039044,01-01-2013,"16,805",102227264
